discipline,element_type
dp_vaartMiljoo,kultuurimälestis
dp_vaartPollum,NaN
dp_vaartPollum,põllumajandusmaa
dp_vaartPollum,karjamaa
dp_vaartPollum,heinamaa
dp_vaartPollum,räätsamaa
dp_vaartPollum,põllumaaväärtus
dp_vaartPollum,viljakus
dp_vaartPollum,rannakarjamaad
dp_vaartPollum,soomaa
dp_vaartPollum,looduslik
dp_plan_ala,NaN
dp_haljastus_katuse,NaN
dp_haljastus_muru,NaN
dp_haljastus_puittaim,NaN
dp_hoone,NaN
dp_transp_klt,NaN
dp_transp_klt_olemas,NaN
dp_transp_klt_ratas,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoone,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
hoonestus,NaN
transp,NaN
transp,NaN
transp,NaN
transp,NaN
transp,NaN
transp,NaN
transp,NaN
transp,NaN
transp,NaN
transp,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
haljastus,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krunt,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
krundiSihtotstarve,NaN
servituut,NaN
servituut,NaN
servituut,NaN
servituut,NaN
servituut,NaN
servituut,NaN
servituut,NaN
servituut,NaN
servituut,NaN
servituut,NaN
sund,NaN
sund,NaN
sund,NaN
sund,NaN
sund,NaN
sund,NaN
sund,NaN
sund,NaN
sund,NaN
sund,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tehno,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
tingimus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartloodus,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartMiljoo,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
vaartPollum,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
dp_plan_ala,NaN
